1, 6
2, 8
3, 5
4, 3
5, 2
6, 1
8, 3
9, 8
10, 1
11, 1
12, 2
13, 1
14, 2
15, 4
16, 1
17, 3
18, 2
19, 1
20, 1
21, 2
22, 3
23, 2
24, 2
25, 2
26, 4
27, 4
28, 4
29, 3
30, 2
31, 1
32, 2
33, 2
34, 2
35, 1
36, 2
37, 2
38, 2
41, 4
45, 1
46, 3
49, 1
50, 1
51, 1
54, 4
56, 1
58, 1
59, 1
61, 2
62, 1
65, 2
67, 1
68, 1
69, 1
70, 1
74, 1
76, 1
80, 2
82, 2
84, 1
87, 1
91, 2
92, 1
94, 1
97, 1
101, 1
102, 1
104, 1
107, 2
108, 2
133, 1
134, 1
136, 1
142, 1
148, 1
149, 1
150, 1
154, 1
202, 1
203, 1
205, 2
231, 1
232, 1
233, 1
252, 1
273, 2
293, 1
347, 1
360, 1
398, 1
406, 1
511, 1
1155, 1
1385, 1
2034, 1
avg, 75.731
perc, 27.0592
