0, 3585
1, 864
2, 210
3, 124
4, 46
5, 44
6, 26
7, 23
8, 22
9, 9
10, 2
11, 5
12, 4
13, 1
14, 1
16, 1
17, 2
19, 1
20, 1
21, 1
23, 1
24, 2
38, 1
45, 1
avg, 0.0659032
