1, 296
2, 612
3, 289
4, 195
5, 166
6, 407
7, 379
8, 213
9, 138
10, 133
11, 76
12, 75
13, 83
14, 56
15, 58
16, 107
17, 39
18, 32
19, 24
20, 14
21, 22
22, 17
23, 12
24, 20
25, 17
26, 12
27, 14
28, 16
29, 1
30, 7
31, 10
32, 2
33, 8
34, 10
35, 11
36, 7
37, 11
38, 2
39, 4
40, 3
41, 4
42, 3
43, 6
44, 5
45, 3
46, 2
47, 2
49, 2
50, 1
52, 1
53, 4
54, 1
56, 1
57, 2
58, 1
59, 1
61, 2
62, 3
63, 1
70, 1
75, 1
77, 2
80, 1
81, 1
85, 1
89, 1
92, 1
96, 1
97, 2
102, 1
108, 1
115, 1
116, 1
117, 1
127, 1
138, 1
195, 1
241, 1
255, 1
259, 1
295, 1
347, 1
474, 1
avg, 1.50804
