1, 4
2, 9
3, 2
4, 2
5, 4
7, 1
8, 1
9, 2
10, 3
11, 1
12, 3
13, 4
14, 2
16, 1
20, 2
21, 5
23, 1
24, 1
25, 2
26, 3
27, 1
28, 1
29, 2
30, 1
31, 4
32, 2
33, 4
35, 1
36, 2
38, 2
40, 1
41, 2
42, 1
44, 2
46, 2
48, 2
49, 1
50, 3
52, 2
53, 2
54, 2
56, 1
57, 1
58, 1
59, 2
61, 3
65, 1
69, 2
70, 1
71, 1
74, 1
75, 3
77, 1
78, 1
79, 1
80, 1
82, 1
85, 1
89, 2
91, 1
92, 1
97, 1
107, 1
109, 2
111, 1
112, 1
115, 2
119, 1
123, 1
124, 1
125, 1
126, 1
131, 1
133, 2
138, 1
142, 1
147, 1
150, 2
156, 1
157, 1
175, 1
182, 1
185, 1
203, 1
206, 1
210, 1
211, 1
244, 1
250, 1
268, 1
270, 2
280, 1
308, 1
337, 1
340, 1
355, 1
359, 1
387, 1
412, 1
455, 1
478, 1
489, 1
603, 1
724, 1
1515, 1
1742, 1
2993, 1
avg, 112.064
