1, 4
2, 17
3, 3
4, 3
5, 1
7, 3
8, 2
9, 1
10, 2
11, 3
13, 2
14, 5
16, 2
17, 4
18, 1
20, 3
21, 3
22, 1
25, 2
26, 3
27, 1
28, 2
29, 1
30, 1
32, 1
33, 4
34, 1
35, 1
37, 1
40, 2
41, 3
42, 1
43, 2
44, 2
45, 1
46, 2
47, 2
48, 3
49, 1
51, 3
52, 2
54, 3
56, 4
57, 1
58, 6
59, 3
60, 2
61, 1
62, 2
63, 2
68, 2
69, 3
72, 1
73, 1
75, 2
76, 2
78, 1
80, 1
81, 2
83, 1
85, 1
86, 1
88, 4
91, 1
97, 1
99, 3
100, 2
103, 1
104, 2
106, 3
107, 1
110, 1
111, 1
113, 2
116, 1
119, 1
124, 1
129, 1
133, 1
134, 1
141, 1
142, 1
146, 1
147, 1
157, 1
158, 1
160, 1
164, 1
165, 1
166, 1
185, 1
187, 1
188, 1
191, 1
192, 3
197, 1
201, 1
205, 1
212, 1
219, 1
220, 1
224, 1
226, 1
227, 1
229, 1
230, 1
235, 1
237, 1
242, 2
271, 1
289, 1
302, 1
306, 1
327, 1
328, 1
339, 1
344, 1
371, 2
404, 1
412, 1
414, 2
448, 1
468, 1
479, 1
495, 1
511, 1
552, 1
601, 1
602, 1
701, 1
763, 1
804, 1
867, 1
937, 1
1052, 1
1069, 1
1158, 1
2877, 1
4051, 1
5808, 1
avg, 162.312
