0, 24
1, 14
2, 4
3, 3
5, 2
6, 1
9, 4
10, 14
11, 4
12, 3
13, 2
17, 5
19, 6
20, 3
21, 2
22, 1
23, 4
24, 1
25, 3
27, 2
28, 2
29, 7
30, 2
31, 1
32, 1
36, 4
37, 3
38, 1
39, 2
40, 1
41, 1
42, 2
46, 2
47, 2
48, 2
50, 1
51, 3
52, 3
53, 1
56, 2
57, 1
59, 3
60, 2
61, 1
62, 2
63, 1
69, 1
70, 2
71, 1
72, 1
77, 1
80, 1
82, 1
83, 2
86, 1
88, 1
97, 1
101, 1
103, 1
105, 1
108, 1
109, 1
110, 1
111, 1
116, 1
118, 1
122, 1
123, 1
124, 1
130, 1
131, 1
132, 1
136, 1
140, 1
142, 1
144, 1
145, 1
153, 1
159, 1
172, 1
175, 1
178, 1
192, 1
195, 1
196, 1
201, 1
209, 1
212, 1
213, 1
217, 1
221, 1
230, 1
231, 1
242, 1
243, 1
245, 1
250, 1
259, 1
264, 1
282, 1
287, 1
290, 1
293, 1
296, 1
299, 1
307, 1
346, 1
348, 1
354, 1
357, 1
378, 1
406, 1
426, 1
436, 1
582, 1
599, 1
621, 1
647, 1
673, 1
767, 1
829, 1
1151, 1
1214, 1
2253, 1
3265, 1
5970, 1
avg, 139.73
perc, 61.1041
